field,topic,system,status,original_survey_title,best_ref_title,manual_same_paper,manual_notes
Computer Science,Pre-trained Language Models in Biomedical Domain,SurveyForge,confirmed,Pre-trained Language Models in Biomedical Domain- A Systematic Survey,pre-trained language models in biomedical domain a systematic survey,1,
Computer Science,Multi-modal Fusion with Attention Mechanisms in Visual Question Answering,LLMxMapReduce_V2,candidate,The multi-modal fusion in visual question answering- a review of attention mechanisms,multi-modal fusion with attention mechanisms in visual question answering,0,
Computer Science,Multi-modal Fusion with Attention Mechanisms in Visual Question Answering,Qwen,candidate,The multi-modal fusion in visual question answering- a review of attention mechanisms,the multi-modal fusion in visual question answering,0,
Computer Science,Computer Vision for Safety Science and Management in Construction,Gemini,confirmed,Computer vision technologies for safety science and management in construction- A critical review and future research directions,Computer vision technologies for safety science and management in construction: A critical review and future research directions,1,
Computer Science,Graph Theory Applications in Computer Science and Social Networks,LLMxMapReduce_V2,candidate,Graph Theory- A Comprehensive Survey about Graph Theory Applications in Computer Science and Social Networks,graph theory applications in computer science and social networks,0,
Computer Science,Educational Chatbots in Computer Science,Gemini,confirmed,Interacting with educational chatbots- A systematic review,Interacting with educational chatbots: A systematic review,1,
Computer Science,Educational Chatbots in Computer Science,SciSage,confirmed,Interacting with educational chatbots- A systematic review,interacting with educational chatbots: a systematic review,1,
Computer Science,Abusive Language Training Data in Natural Language Processing,Autosurvey,candidate,"Directions in abusive language training data, a systematic review- Garbage in, garbage out","directions in abusive language training data garbage in, garbage out",0,
Computer Science,Abusive Language Training Data in Natural Language Processing,Gemini,confirmed,"Directions in abusive language training data, a systematic review- Garbage in, garbage out","Directions in abusive language training data, a systematic review: Garbage in, garbage out.",1,
Computer Science,Abusive Language Training Data in Natural Language Processing,LLMxMapReduce_V2,confirmed,"Directions in abusive language training data, a systematic review- Garbage in, garbage out","directions in abusive language training data, a systematic review: garbage in, garbage out",1,
Computer Science,Abusive Language Training Data in Natural Language Processing,SciSage,confirmed,"Directions in abusive language training data, a systematic review- Garbage in, garbage out","directions in abusive language training data, a systematic review: garbage in, garbage out",1,
Computer Science,Generative Adversarial Networks in Computer Science,Autosurvey,confirmed,"A Review on Generative Adversarial Networks- Algorithms, Theory, and Applications","a review on generative adversarial networks algorithms, theory, and applications",1,
Computer Science,Generative Adversarial Networks in Computer Science,Gemini,confirmed,"A Review on Generative Adversarial Networks- Algorithms, Theory, and Applications","A Review on Generative Adversarial Networks: Algorithms, Theory, and Applications",1,
Computer Science,Explainable Artificial Intelligence in Finance,Gemini,confirmed,"Applications of Explainable Artificial Intelligence in Finance—a systematic review of Finance, Information Systems, and Computer Science literature","Applications of Explainable Artificial Intelligence in Finance—a systematic review of Finance, Information Systems, and Computer Science literature",1,
Computer Science,Fairness in Recommender Systems,Autosurvey,confirmed,Fairness in recommender systems- research landscape and future directions,fairness in recommender systems research landscape and future directions,1,
Computer Science,Fairness in Recommender Systems,Gemini,confirmed,Fairness in recommender systems- research landscape and future directions,Fairness in Recommender Systems: Research Landscape and Future Directions,1,
Computer Science,Fairness in Recommender Systems,LLMxMapReduce_V2,confirmed,Fairness in recommender systems- research landscape and future directions,fairness in recommender systems: research landscape and future directions,1,
Computer Science,Fairness in Recommender Systems,Qwen,candidate,Fairness in recommender systems- research landscape and future directions,fairness in recommender systems: research landscape and,0,
Computer Science,Fairness in Recommender Systems,SurveyForge,confirmed,Fairness in recommender systems- research landscape and future directions,fairness in recommender systems research landscape and future directions,1,
Computer Science,Fairness in Recommender Systems,SurveyX,confirmed,Fairness in recommender systems- research landscape and future directions,Fairness in recommender systems: Research landscape and future directions,1,
Business,Additive Manufacturing Technology in Business Models,Gemini,confirmed,How Additive Manufacturing Technology Changes Business Models? �?Review of Literature,How Additive Manufacturing Technology Changes Business Models? �?Review of Literature,1,
Business,Qualitative Comparative Analysis (QCA) in International Business Research,Gemini,confirmed,The contributions of qualitative comparative analysis (QCA) to international business research,The contributions of qualitative comparative analysis (QCA) to international business research,1,
Business,Qualitative Comparative Analysis (QCA) in International Business Research,LLMxMapReduce_V2,confirmed,The contributions of qualitative comparative analysis (QCA) to international business research,the contributions of qualitative comparative analysis (qca) to international business research,1,
Business,Corporate Social Responsibility in Business,Gemini,confirmed,Meta-analyses on Corporate Social Responsibility (CSR)- a literature review,Meta-analyses on Corporate Social Responsibility (CSR): a literature review,1,
Business,Corporate Social Responsibility in Business,Qwen,candidate,Meta-analyses on Corporate Social Responsibility (CSR)- a literature review,meta-analyses on corporate social responsibility (csr),0,
Business,Small and Medium Enterprises (SMEs) Challenges and Survival Strategies in Business,Gemini,confirmed,A Review of Global Challenges and Survival Strategies of Small and Medium Enterprises (SMEs),A Review of Global Challenges and Survival Strategies of Small and Medium Enterprises (SMEs),1,
Business,Small and Medium Enterprises (SMEs) Challenges and Survival Strategies in Business,LLMxMapReduce_V2,candidate,A Review of Global Challenges and Survival Strategies of Small and Medium Enterprises (SMEs),small and medium enterprises (smes) challenges and survival strategies in business,0,
Business,Artificial Intelligence in Business Strategy for Digital Transformation,Gemini,confirmed,Artificial Intelligence and Business Strategy towards Digital Transformation- A Research Agenda,Artificial Intelligence and Business Strategy towards Digital Transformation: A Research Agenda,1,
Business,Artificial Intelligence in Business Strategy for Digital Transformation,LLMxMapReduce_V2,candidate,Artificial Intelligence and Business Strategy towards Digital Transformation- A Research Agenda,artificial intelligence in business strategy for digital transformation,0,
Business,Artificial Intelligence in Business Strategy for Digital Transformation,Qwen,candidate,Artificial Intelligence and Business Strategy towards Digital Transformation- A Research Agenda,artificial intelligence and business strategy towards digital,0,
Business,Artificial Intelligence on Business Value in the Digital Era,Gemini,confirmed,Investigating the Influence of Artificial Intelligence on Business Value in the Digital Era of Strategy A Literature Review,Investigating the Influence of Artificial Intelligence on Business Value in the Digital Era of Strategy: A Literature Review,1,
Business,Digital Entrepreneurship in Innovation Systems for Sustainable Transitions,Gemini,confirmed,Digital Entrepreneurship and its Role in Innovation Systems- A Systematic Literature Review as a Basis for Future Research Avenues for Sustainable Transitions,Digital Entrepreneurship and its Role in Innovation Systems: A Systematic Literature Review as a Basis for Future Research Avenues for Sustainable Transitions,1,
Business,Corruption in International Business,Gemini,confirmed,Corruption in international business- A review and research agenda,Corruption in international business: A review and research agenda,1,
Business,Artificial Intelligence in Business,Gemini,confirmed,Artificial Intelligence and Business Value- a Literature Review,Artificial Intelligence and Business Value: A Literature Review,1,
Business,Artificial Intelligence in Business,Qwen,confirmed,Artificial Intelligence and Business Value- a Literature Review,artificial intelligence and business value: a literature review,1,
Business,Sustainable Development Goals in Business Strategy,Gemini,confirmed,Sustainable development goals and the strategic role of business A systematic literature review,Sustainable development goals and the strategic role of business: A systematic literature review,1,
